(01) CONVERSION-FLAG,(30) PO-NUMBER        ,(40) SHIP-NAME        ,(40) SHIP-ADDRESS-1   ,(40) SHIP-ADDRESS-2   ,(40) SHIP-ADDRESS-3   ,(40) SHIP-ADDRESS-4   ,(40) SHIP-ADDRESS-5   ,(25) SHIP-CITY        ,(02) SHIP-STATE,(13) SHIP-ZIP         ,(25) SHIP-COUNTRY     ,(30) CONTACT          ,(20) CONTACT-PHONE    ,(38) BUYER-PART-NBR   ,(16) ORDER-QTY        ,(16) UNIT-PRICE       ,(10) ITEM-PROMISE-DATE,(20) SHIP-VIA,(19) WAYBILL ,(06) CARRIER                 ,(40) SHIP-ATTN     ,(40) BILL-NAME     ,(40) BILL-ADDRESS-1,(40) BILL-ADDRESS-2,(40) BILL-ADDRESS-3,(40) BILL-ADDRESS-4,(40) BILL-ADDRESS-5,(25) BILL-CITY     ,(02) BILL-STATE    ,(13) BILL-ZIP      ,(25) BILL-COUNTRY  ,(40) BILL-ATTN     ,(01) BILL-INTL-FLAG,(30) HDR-USER-2    ,(30) HDR-USER-3    ,(30) HDR-USER-4    ,(30) HDR-USER-5    ,(20) ORDER-SORT    ,(30) ORDER-SORT-2  ,(100)EMAIL         ,(03) PO-LINE-NBR   ,(20) INFO-1        ,(20) INFO-2        ,(30) LINE-USER-1   ,(30) LINE-USER-2   ,(30) LINE-USER-3   ,(30) LINE-USER-4   ,(17)L-SHIP-TO-CODE,BUYER-ID
NO,RC121015E1,DOLLAR GENERAL # 9807,201 RURITAN RD,,,,,HARRIMAN,TN,37748-6447,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E1,DOLLAR GENERAL # 9807,201 RURITAN RD,,,,,HARRIMAN,TN,37748-6447,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E2,DOLLAR GENERAL # 9815,430 BATTLEFIELD PKWY,,,,,FORT OGLETHORPE,GA,30742-3847,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E2,DOLLAR GENERAL # 9815,430 BATTLEFIELD PKWY,,,,,FORT OGLETHORPE,GA,30742-3847,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,PEPGA,PEPSI
NO,RC121015E3,DOLLAR GENERAL # 9825,185 S JEFFERSON AVE,,,,,COOKEVILLE,TN,38501-3424,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E3,DOLLAR GENERAL # 9825,185 S JEFFERSON AVE,,,,,COOKEVILLE,TN,38501-3424,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E4,DOLLAR GENERAL # 9857,9224 MIDDLEBROOK PIKE,,,,,KNOXVILLE,TN,37931-4701,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E4,DOLLAR GENERAL # 9857,9224 MIDDLEBROOK PIKE,,,,,KNOXVILLE,TN,37931-4701,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E5,DOLLAR GENERAL # 12003,835 E ANDREW JOHNSON HWY,,,,,GREENEVILLE,TN,37745-3581,,,,02-42355,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
NO,RC121015E5,DOLLAR GENERAL # 12003,835 E ANDREW JOHNSON HWY,,,,,GREENEVILLE,TN,37745-3581,,,,02-42237,1,,12/11/2015,PREPAID AND ADD,,UPS,,,LONDON.NIELSON@PEPSICO.COM,RACHELLE.COLAS@PEPSIC.COM,STEPHEN.GOULD@PEPSICO.COM,,,,,,,,,,,,,,,,,,,,,,,,PEPSI
