NO,PO,DelName,DelContactPhoneNumber,ADDR1,Addr2,DivLoc,ApptInfo,CITY,State,Zip,COUNTRY,DELCONTACT,PhoneNumber,PartNum,Quantity,,ReqShipDate,FREIGHT,,CARRIER,,BILL TO ,BILL TO EMAIL ADDRESS,,,,,BILL TO CITY,BILL TO STATE,BILL TO ZIPCODE
NO,LG022616E1,DOLLAR GENERAL #16635,,2656 LOMBARDY VILLAGE RD,,,,LUMBER BRIDGE,NC,28357,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LUMBER BRIDGE,NC,28357
NO,LG022616E2,DOLLAR GENERAL #8468,,220 E 2ND ST,,,,WILLIAMSBURG,PA,16693,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,WILLIAMSBURG,PA,16693
NO,LG022616E3,DOLLAR GENERAL #3750,,605 N MAIN,,,,SHAMROCK,TX,79079,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SHAMROCK,TX,79079
NO,LG022616E4,DOLLAR GENERAL #4825,,12709 DIXIE HWY,,,,WALTON,KY,41094,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,WALTON,KY,41094
NO,LG022616E5,DOLLAR GENERAL #16376,,290 W. TATE ST,,,,LAWRENCEBURG,IN,47025,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LAWRENCEBURG,IN,47025
NO,LG022616E6,DOLLAR GENERAL #3016,,103 N 25TH STREET,,,,BETHANY,MO,64424,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BETHANY,MO,64424
NO,LG022616E7,DOLLAR GENERAL #3329,,1103 W GENTRY,,,,CHECOTAH,OK,74426,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CHECOTAH,OK,74426
NO,LG022616E8,DOLLAR GENERAL #7711,,102 N MAIN ST,,,,BRIDGEVILLE,DE,19933,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BRIDGEVILLE,DE,19933
NO,LG022616E9,DOLLAR GENERAL #8060,,251 N 1ST ST,,,,TIMPSON,TX,75975,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,TIMPSON,TX,75975
NO,LG022616E10,DOLLAR GENERAL #1759,,4122 CELANESE RD,,,,ROCK HILL,SC,29732,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ROCK HILL,SC,29732
NO,LG022616E11,DOLLAR GENERAL #3731,,3301 ENGLISH AVE,,,,INDIANAPOLIS,IN,46203,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,INDIANAPOLIS,IN,46203
NO,LG022616E12,DOLLAR GENERAL #4872,,200 N US HWY 169,,,,SMITHVILLE,MO,64089,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,SMITHVILLE,MO,64089
NO,LG022616E13,DOLLAR GENERAL #11809,,449 LAKEVIEW AVE,,,,CLIFTON,NJ,7011,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CLIFTON,NJ,7011
